         10155 function calls (9391 primitive calls) in 0.109 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/site-packages/transformers/tokenization_utils_base.py:2882(_call_one)
        1    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/site-packages/transformers/tokenization_utils_base.py:3100(batch_encode_plus)
        1    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/site-packages/transformers/tokenization_utils_fast.py:500(_batch_encode_plus)
        3    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/site-packages/tqdm/std.py:1464(display)
        2    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/site-packages/tqdm/std.py:1160(__iter__)
        2    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/site-packages/tqdm/std.py:1325(refresh)
      124    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/site-packages/torch/nn/modules/module.py:1944(__setattr__)
        3    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/site-packages/tqdm/std.py:1150(__str__)
      2/1    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/site-packages/tqdm/std.py:1522(trange)
        1    0.000    0.000    0.000    0.000 {method 'encode_batch' of 'tokenizers.Tokenizer' objects}
        3    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/site-packages/tqdm/std.py:464(format_meter)
      494    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/site-packages/torch/nn/modules/module.py:2731(children)
        1    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/site-packages/tqdm/std.py:952(__init__)
        6    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/inspect.py:3342(signature)
        6    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/inspect.py:3066(from_callable)
  980/732    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
     12/6    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/inspect.py:2477(_signature_from_callable)
        9    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/site-packages/tqdm/utils.py:378(disp_len)
        1    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/site-packages/tqdm/std.py:1198(update)
        9    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/site-packages/tqdm/utils.py:374(_text_width)
       10    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
        6    0.000    0.000    0.000    0.000 {method 'reshape' of 'torch._C.TensorBase' objects}
      498    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/site-packages/torch/nn/modules/module.py:2740(named_children)
       18    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/site-packages/transformers/models/bert/modeling_bert.py:217(transpose_for_scores)
        4    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/site-packages/sentence_transformers/SentenceTransformer.py:1843(device)
        2    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/site-packages/tqdm/std.py:1265(close)
      805    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/site-packages/tqdm/utils.py:375(<genexpr>)
        3    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/site-packages/tqdm/std.py:457(print_status)
        6    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/inspect.py:2373(_signature_from_function)
      218    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/site-packages/torch/nn/modules/module.py:1927(__getattr__)
      104    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/site-packages/torch/autograd/grad_mode.py:80(__enter__)
      105    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/site-packages/torch/nn/modules/module.py:1332(convert)
      208    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/site-packages/torch/autograd/grad_mode.py:184(__init__)
       13    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/site-packages/torch/nn/modules/dropout.py:69(forward)
        4    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/site-packages/transformers/modeling_utils.py:1525(device)
        4    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/site-packages/transformers/modeling_utils.py:330(get_parameter_device)
       13    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/site-packages/torch/nn/functional.py:1401(dropout)
        1    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/site-packages/transformers/tokenization_utils_base.py:222(__init__)
        3    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/site-packages/tqdm/utils.py:386(disp_trim)
      104    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/site-packages/torch/autograd/grad_mode.py:84(__exit__)
      124    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/site-packages/torch/nn/parameter.py:10(__instancecheck__)
        1    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/site-packages/transformers/tokenization_utils_base.py:700(convert_to_tensors)
        1    0.000    0.000    0.000    0.000 <string>:2(__init__)
       18    0.000    0.000    0.000    0.000 {method 'view' of 'torch._C.TensorBase' objects}
       13    0.000    0.000    0.000    0.000 {built-in method builtins.next}
      103    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/site-packages/torch/nn/modules/module.py:917(compute_should_use_set_data)
        2    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/site-packages/transformers/utils/generic.py:378(__post_init__)
        4    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/site-packages/torch/nn/modules/module.py:2620(parameters)
       18    0.000    0.000    0.000    0.000 {method 'permute' of 'torch._C.TensorBase' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        8    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/site-packages/torch/nn/modules/module.py:2645(named_parameters)
      796    0.000    0.000    0.000    0.000 {built-in method unicodedata.east_asian_width}
      124    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/site-packages/torch/nn/parameter.py:216(__instancecheck__)
      103    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/site-packages/torch/utils/_python_dispatch.py:369(is_traceable_wrapper_subclass)
        1    0.000    0.000    0.000    0.000 {method 'sum' of 'torch._C.TensorBase' objects}
        4    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/site-packages/torch/nn/modules/module.py:2600(_named_members)
      118    0.000    0.000    0.000    0.000 {built-in method torch._C._get_tracing_state}
        3    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/site-packages/transformers/tokenization_utils_base.py:737(as_tensor)
      104    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/site-packages/torch/autograd/grad_mode.py:75(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method _thread.start_joinable_thread}
        2    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      523    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      405    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        8    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/site-packages/torch/nn/modules/container.py:128(__getitem__)
        3    0.000    0.000    0.000    0.000 {built-in method torch.tensor}
        1    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/site-packages/transformers/tokenization_utils_fast.py:425(set_truncation_and_padding)
        6    0.000    0.000    0.000    0.000 {method 'transpose' of 'torch._C.TensorBase' objects}
        3    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/site-packages/tqdm/std.py:451(fp_write)
        8    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/site-packages/tqdm/utils.py:194(inner)
        2    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:1130(argsort)
      104    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/site-packages/torch/utils/_contextlib.py:154(__new__)
        5    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        2    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:51(_wrapfunc)
      2/1    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/site-packages/tqdm/std.py:663(__new__)
        1    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/site-packages/torch/_tensor.py:1175(__iter__)
       12    0.000    0.000    0.000    0.000 /opt/miniconda3/lib/python3.13/inspect.py:2726(__init__)
