         10166 function calls (9402 primitive calls) in 0.469 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      2/1    0.000    0.000    0.468    0.468 /Users/vedantthakkar/Desktop/MLOPs/ms-potts-mlops/src/ms_potts/retriever_who.py:63(embed_query)
      2/1    0.000    0.000    0.468    0.468 /opt/miniconda3/lib/python3.13/site-packages/sentence_transformers/SentenceTransformer.py:522(encode)
        1    0.000    0.000    0.462    0.462 /opt/miniconda3/lib/python3.13/site-packages/sentence_transformers/SentenceTransformer.py:751(forward)
    116/3    0.000    0.000    0.462    0.154 /opt/miniconda3/lib/python3.13/site-packages/torch/nn/modules/module.py:1747(_wrapped_call_impl)
    116/3    0.000    0.000    0.462    0.154 /opt/miniconda3/lib/python3.13/site-packages/torch/nn/modules/module.py:1755(_call_impl)
        1    0.000    0.000    0.450    0.450 /opt/miniconda3/lib/python3.13/site-packages/sentence_transformers/models/Transformer.py:434(forward)
        1    0.000    0.000    0.450    0.450 /opt/miniconda3/lib/python3.13/site-packages/transformers/models/bert/modeling_bert.py:900(forward)
        1    0.000    0.000    0.355    0.355 /opt/miniconda3/lib/python3.13/site-packages/transformers/models/bert/modeling_bert.py:618(forward)
        6    0.000    0.000    0.355    0.059 /opt/miniconda3/lib/python3.13/site-packages/transformers/models/bert/modeling_bert.py:540(forward)
        6    0.000    0.000    0.273    0.046 /opt/miniconda3/lib/python3.13/site-packages/transformers/models/bert/modeling_bert.py:472(forward)
        6    0.000    0.000    0.272    0.045 /opt/miniconda3/lib/python3.13/site-packages/transformers/models/bert/modeling_bert.py:331(forward)
       37    0.000    0.000    0.192    0.005 /opt/miniconda3/lib/python3.13/site-packages/torch/nn/modules/linear.py:124(forward)
       37    0.192    0.005    0.192    0.005 {built-in method torch._C._nn.linear}
        6    0.160    0.027    0.160    0.027 {built-in method torch._C._nn.scaled_dot_product_attention}
        6    0.000    0.000    0.082    0.014 /opt/miniconda3/lib/python3.13/site-packages/transformers/pytorch_utils.py:178(apply_chunking_to_forward)
        6    0.000    0.000    0.081    0.014 /opt/miniconda3/lib/python3.13/site-packages/transformers/models/bert/modeling_bert.py:605(feed_forward_chunk)
        6    0.000    0.000    0.077    0.013 /opt/miniconda3/lib/python3.13/site-packages/transformers/models/bert/modeling_bert.py:518(forward)
        1    0.002    0.002    0.065    0.065 /opt/miniconda3/lib/python3.13/site-packages/transformers/models/bert/modeling_bert.py:148(forward)
        3    0.000    0.000    0.056    0.019 /opt/miniconda3/lib/python3.13/site-packages/torch/nn/modules/sparse.py:189(forward)
        3    0.000    0.000    0.056    0.019 /opt/miniconda3/lib/python3.13/site-packages/torch/nn/functional.py:2437(embedding)
        3    0.056    0.019    0.056    0.019 {built-in method torch.embedding}
        1    0.022    0.022    0.026    0.026 /opt/miniconda3/lib/python3.13/site-packages/transformers/modeling_attn_mask_utils.py:429(_prepare_4d_attention_mask_for_sdpa)
        1    0.003    0.003    0.009    0.009 /opt/miniconda3/lib/python3.13/site-packages/sentence_transformers/models/Pooling.py:137(forward)
       13    0.000    0.000    0.007    0.001 /opt/miniconda3/lib/python3.13/site-packages/torch/nn/modules/normalization.py:216(forward)
       13    0.000    0.000    0.007    0.001 /opt/miniconda3/lib/python3.13/site-packages/torch/nn/functional.py:2889(layer_norm)
       13    0.007    0.001    0.007    0.001 {built-in method torch.layer_norm}
        6    0.000    0.000    0.005    0.001 /opt/miniconda3/lib/python3.13/site-packages/transformers/models/bert/modeling_bert.py:505(forward)
        1    0.000    0.000    0.004    0.004 /opt/miniconda3/lib/python3.13/site-packages/transformers/models/bert/modeling_bert.py:710(forward)
        1    0.000    0.000    0.004    0.004 /opt/miniconda3/lib/python3.13/site-packages/sentence_transformers/models/Normalize.py:13(forward)
        1    0.000    0.000    0.004    0.004 /opt/miniconda3/lib/python3.13/site-packages/torch/nn/functional.py:5456(normalize)
        1    0.003    0.003    0.003    0.003 {built-in method torch.all}
      109    0.003    0.000    0.003    0.000 {method 'to' of 'torch._C.TensorBase' objects}
